attributeID,attributeName,description,iconID,defaultValue,published,displayName,unitID,stackable,highIsGood,categoryID
2,None,Boolean to store status of online effect,None,0.0,0,None,None,1,1,9
3,Item Damage,current structure damage dealt to module,1386,0.0,1,Item Damage,113,1,0,7
4,Mass,Integer that describes the types mass,76,0.0,1,Mass,2,0,1,4
6,Activation Cost,The amount of charge used from the capacitor for a module activation.,1400,0.0,1,Activation Cost,114,1,0,5
8,None,tbd,1391,0.0,0,None,None,1,1,9
9,Structure Hitpoints,The maximum hitpoints of an object.,67,0.0,1,Structure Hitpoints,113,1,1,4
11,Powergrid Output,power output of power core,1400,0.0,1,Powergrid Output,107,1,1,1
12,Low Slots,The number of low power slots on the ship.,295,0.0,1,Low Slots,122,1,1,1
13,Medium Slots,tbd,294,0.0,1,Medium Slots,122,1,1,1
14,High Slots,tbd,293,0.0,1,High Slots,122,1,1,1
15,Power Load,Current load of power core,1400,0.0,1,Power Load,107,1,1,7
18,None,charge of module,1668,0.0,0,None,114,1,1,9
19,None,tbd,None,0.0,0,None,None,1,1,9
20,Maximum Velocity Bonus,Factor by which topspeed increases.,1389,1.0,1,Maximum Velocity Bonus,124,0,1,28
21,None,tbd instance param,None,0.0,0,None,None,1,1,17
29,None,tbd,None,0.0,0,None,None,1,1,9
30,Powergrid Usage,current power need,70,0.0,1,Powergrid Usage,107,1,0,1
31,None,The number of hit points this module can take  ,1383,0.0,0,None,None,1,1,9
32,None,The number of hit points when this module goes offline  ,None,0.0,0,None,None,1,1,9
37,Maximum Velocity,Maximum velocity of ship,1389,0.0,1,Maximum Velocity,11,0,1,17
38,Capacity,The cargo space allowed,71,0.0,1,Capacity,9,1,1,4
39,Damage Repaired Bonus,The damage this weapon deals,None,0.0,1,Damage Repaired Bonus,105,1,1,7
47,None,"The number of slots this module requires.  Only used for launchers, bays and turrets.",None,1.0,0,None,None,1,1,9
48,CPU Output,CPU output of ship,1405,0.0,1,CPU Output,106,1,1,1
49,CPU Load,CPU load of ship,1405,0.0,1,CPU Load,106,1,1,9
50,CPU usage,CPU need of module,1405,0.0,1,CPU usage,106,1,0,1
51,Rate of fire,Time in milliseconds between possible activations,1397,0.0,1,Rate of fire,101,0,0,29
52,None,Substracted before damage application.,None,0.0,0,None,None,1,1,9
54,Optimal Range,Distance below which range does not affect the to-hit equation.,1391,0.0,1,Optimal Range,1,0,1,29
55,Capacitor Recharge time,Amount of time taken to fully recharge the capacitor.,1392,0.0,1,Capacitor Recharge time,101,1,0,5
56,Charges Per Cycle,Number of charges consumed per activation,1397,1.0,1,Charges Per Cycle,None,1,1,7
61,None,GroupID of module targeted by this weapon,None,0.0,0,None,None,1,1,9
63,None,Something to do with accuracy.,1399,0.0,0,None,None,1,1,9
64,Damage Modifier,Damage multiplier.,1432,1.0,1,Damage Modifier,104,0,1,29
65,None,HP bonus to armor.,1383,0.0,0,None,None,1,1,9
66,Duration Bonus,Bonus to duration.,1392,0.0,1,Duration Bonus,105,1,1,7
67,Capacitor Bonus,Extra batteries to add capacitor.,1400,0.0,1,Capacitor Bonus,114,1,1,5
68,Shield Bonus,Bonus to shield.,1384,0.0,1,Shield Bonus,113,0,1,2
69,None,Bonus to rate/conversion ratio.,1397,0.0,0,None,None,1,1,9
70,Inertia Modifier,The agility of the object.,1401,0.0,1,Inertia Modifier,104,0,0,17
72,Shield Hitpoint Bonus,Bonus to capacity (shield at least).,69,0.0,1,Shield Hitpoint Bonus,113,1,1,2
73,Activation time / duration,Length of activation time.,1392,0.0,1,Activation time / duration,101,1,0,7
75,None,DO NOT MESS WITH. How many hp are in one capacity unit,None,1.0,0,None,None,1,1,9
76,Maximum Targeting Range,Maximum range at which the scanner can lock a target.,1391,0.0,1,Maximum Targeting Range,1,0,1,6
77,Mining amount,How much ore gets mined,22,0.0,1,Mining amount,9,1,1,51
79,None,scanning speed in milliseconds,74,0.0,0,None,101,0,0,6
80,Speed Bonus,Amount to increase the maximum speed by.,1389,0.0,1,Speed Bonus,11,1,1,7
81,None,Factor to modify the hp by.,None,0.0,0,None,None,1,1,9
82,None,Modifier for the maximum structural strength.,None,0.0,0,None,None,1,1,9
83,Structure Hitpoints Repaired,An amount to modify the structural damage by.,80,0.0,1,Structure Hitpoints Repaired,113,1,1,7
84,Armor Hitpoints Repaired,An amount to modify the armor damage by.,80,0.0,1,Armor Hitpoints Repaired,113,0,1,7
87,shield Transfer Range,Maximum range for use of a shield transfer.,1391,0.0,1,shield Transfer Range,1,1,1,2
88,None,Amount to drain from shield.,1384,0.0,0,None,None,1,1,9
89,None,Maximum range shield can be drained at.,None,0.0,0,None,None,1,1,9
90,Energy transfer amount,Amount of power to transfer.,1033,0.0,1,Energy transfer amount,120,1,1,22
91,Transfer range,Maximum range to transfer power from.,1391,0.0,1,Transfer range,1,1,1,7
92,None,The strength of the kinetic dampening field.  If high may nullify projectiles.,None,0.0,0,None,None,1,1,9
93,None,Amount to adjust a kinetic dampening field by.,None,0.0,0,None,None,1,1,9
95,None,The strength of the energy reflection field. If high may reflect energy at shooter.,None,0.0,0,None,None,1,1,9
96,None,Amount to adjust a energy reflection strength by.,None,0.0,0,None,None,1,1,9
97,Neutralization Amount,An amount to modify the power of the target by.,1400,0.0,1,Neutralization Amount,114,1,1,22
98,Neutralization Optimal Range,Optimal Range of Energy Neutralizer,1391,0.0,1,Neutralization Optimal Range,1,1,1,22
99,Area of effect radius,Range of broadcasted EMP field.,1391,0.0,1,Area of effect radius,1,1,1,7
101,Launcher Hardpoints,The number of remaining unused launcher slots.,168,0.0,1,Launcher Hardpoints,141,1,1,1
102,Turret Hardpoints,Remaining number of unused turret slots on the ship.,387,0.0,1,Turret Hardpoints,141,1,1,1
103,Warp Disruption Range,Maximum range objects can be warp scrambled from.,1391,0.0,1,Warp Disruption Range,1,1,1,27
104,Warp Scramble Status,Warp ability of a ship.  If greater than zero than the ship cannot warp.,None,0.0,1,Warp Scramble Status,None,1,1,7
105,Warp Scramble Strength,Amount to modify ships warp scramble status by.,111,0.0,1,Warp Scramble Strength,None,1,1,27
106,Drone Bay Hardpoints,The remaining amount of unused drone bay slots on the ship.,138,0.0,1,Drone Bay Hardpoints,None,1,1,10
107,None,Range in meters of explosion effect area.,1390,0.0,0,None,1,1,1,9
108,None,the range in meters for an object to trigger detonation of missile. (own ship excluded),None,0.0,0,None,1,1,1,9
109,Structure Kinetic Damage Resistance,damage multiplier vs. kinetic damagers.,1393,1.0,1,Structure Kinetic Damage Resistance,108,0,0,4
110,Structure Thermal Damage Resistance,damage multiplier vs. thermal.,1394,1.0,1,Structure Thermal Damage Resistance,108,0,0,4
111,Structure Explosive Damage Resistance,damage multiplier vs. explosive damagers.,1395,1.0,1,Structure Explosive Damage Resistance,108,0,0,4
112,None,Percentage of energy damage that is absorbed as available power.,1400,0.0,0,None,None,1,1,9
113,Structure EM Damage Resistance,"Electro magnetic damage multiplier for shield and armor. Represented as ""% Resistance"" in the UI.",1396,1.0,1,Structure EM Damage Resistance,108,0,0,4
114,EM damage,EM damage done.,1388,0.0,1,EM damage,113,1,1,29
116,Explosive damage,Explosive damage done.,1387,0.0,1,Explosive damage,113,1,1,29
117,Kinetic damage,Kinetic damage done.,1385,0.0,1,Kinetic damage,113,1,1,29
118,Thermal damage,Thermal damage done.,1386,0.0,1,Thermal damage,113,1,1,29
120,Range bonus,Multiplier of range the relevant weapon.,1391,1.0,1,Range bonus,109,1,1,7
121,Power Output Bonus,Bonus to output of power core.,1384,0.0,1,Power Output Bonus,107,1,1,7
122,None,Chance of piercing the armor.,1383,0.0,0,None,None,1,1,9
123,None,Chance of piercing the shield.,None,0.0,0,None,None,1,1,9
124,None,The main color of a ship type.,None,0.0,0,None,None,1,1,9
125,Ship scanning range,Maximum range that something can be ship scanned from.,1391,0.0,1,Ship scanning range,1,1,1,7
126,Cargoscan range,Maximum range the cargo of a ship can be scanned from.,1391,0.0,1,Cargoscan range,1,1,1,7
127,None,A temporary attribute for projectile/hybrid weapons to indicate which charges they have loaded when created in newbie ships ala ammo.,None,0.0,0,None,None,1,1,7
128,Charge size,The size of the charges that can fit in the turret/whatever.,1666,0.0,1,Charge size,117,1,1,7
129,None,Specifies the maximum numbers of passengers that the ship can have,413,0.0,0,None,None,1,1,9
130,Thermal Damage Resistance Bonus,Multipler to adjust the thermal damage resonance of an object.,1394,1.0,1,Thermal Damage Resistance Bonus,111,1,0,7
131,Kinetic Damage Resistance Bonus,Multiplier to the kinetic damage resonance of something.,1393,1.0,1,Kinetic Damage Resistance Bonus,111,1,0,7
132,Explosive Damage Resistance Bonus,Multiplier to the explosive damage resistance of something.,1395,1.0,1,Explosive Damage Resistance Bonus,111,1,0,7
133,EM Damage Resistance Bonus,Multiplier to the EM damage resonance of something.,1396,1.0,1,EM Damage Resistance Bonus,111,0,0,7
134,Shield recharge rate bonus,Multiplier to a recharge rate time.,1392,1.0,1,Shield recharge rate bonus,111,1,0,2
135,None,"The size of the module, 1 = small, 2 = medium, 3 = large.  Used for turrets and projectile weapons but will work for any module that defines it.",None,0.0,0,None,None,1,1,9
136,None,"This number is deducted from the %chance of the seeping to armor, to slow seep of damage through shield.",None,0.0,0,None,None,1,1,2
137,Used with (Launcher Group),One of the groups of launcher this charge can be loaded into.,1397,0.0,1,Used with (Launcher Group),115,1,1,7
138,EM Damage Bonus,+/- amount to the EM damage done.,1388,0.0,1,EM Damage Bonus,113,1,1,7
139,Explosive Damage Bonus,+/- amount to the explosive damage done.,1387,0.0,1,Explosive Damage Bonus,113,1,1,7
140,Kinetic Damage Bonus,+/- amount to the kinetic damage done.,1385,0.0,1,Kinetic Damage Bonus,113,1,1,7
141,Thermal Damage Bonus,+/- bonus to the thermal damage done.,1386,0.0,1,Thermal Damage Bonus,113,1,1,7
142,ECM Burst Radius,Range that an ECM burst has an effect within.,1390,0.0,1,ECM Burst Radius,1,1,1,7
143,Targeting range,Range of the automated targeting systems hostile targeting area.,1391,0.0,1,Targeting range,1,1,1,7
144,Capacitor recharge rate bonus,Multiplier to the capacitors recharge rate.,1400,1.0,1,Capacitor recharge rate bonus,111,1,0,5
145,Powergrid bonus,Multipier to power core output.,70,1.0,1,Powergrid bonus,109,1,1,7
146,Shield Hitpoint Bonus,Multiplier to the capacity of a shield.,1384,1.0,1,Shield Hitpoint Bonus,109,1,1,2
147,Capacitor Capacity Bonus,,1400,1.0,1,Capacitor Capacity Bonus,109,1,1,5
148,Armor Hitpoint Bonus,Multiplier to the HP of a ships armor module.,1383,1.0,1,Armor Hitpoint Bonus,109,1,1,3
149,Cargo capacity bonus,Multiplier to the amount of cargo capacity for a ship.,71,1.0,1,Cargo capacity bonus,109,1,1,4
150,Structure Hitpoint Bonus,Multiplier to the ships structural HP.,67,1.0,1,Structure Hitpoint Bonus,109,1,1,7
151,Inertia Modifier,Bonus to the agility for a ship.,1401,0.0,1,Inertia Modifier,105,1,1,7
