effectID,effectName,effectCategory,preExpression,postExpression,description,guid,iconID,isOffensive,isAssistance,durationAttributeID,trackingSpeedAttributeID,dischargeAttributeID,rangeAttributeID,falloffAttributeID,disallowAutoRepeat,published,displayName,isWarpSafe,rangeChance,electronicChance,propulsionChance,distribution,sfxName,npcUsageChanceAttributeID,npcActivationChanceAttributeID,fittingUsageChanceAttributeID,modifierInfo
4,shieldBoosting,None,None,None,None,effects.ShieldBoosting,None,0,0,73,None,6,None,None,0,0,None,1,0,0,0,None,None,None,None,None,"null
...
"
9,missileLaunching,None,None,None,None,effects.MissileDeployment,None,1,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"null
...
"
10,targetAttack,None,None,None,None,effects.Laser,None,1,0,51,160,6,54,158,0,0,None,0,0,0,0,None,None,None,None,None,"null
...
"
11,loPower,None,None,None,Requires a low power slot,,295,0,0,None,None,None,None,None,0,1,Low power,0,0,0,0,None,None,None,None,None,"null
...
"
12,hiPower,None,None,None,Requires a high power slot,,293,0,0,None,None,None,None,None,0,1,High power,0,0,0,0,None,None,None,None,None,"null
...
"
13,medPower,None,None,None,Requires a medium power slot,,294,0,0,None,None,None,None,None,0,1,Medium power,0,0,0,0,None,None,None,None,None,"null
...
"
16,online,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"null
...
"
17,mining,None,None,None,None,effects.Mining,None,0,0,73,None,None,54,None,0,0,None,0,0,0,0,None,None,None,None,None,"null
...
"
18,shieldTransfer,None,None,None,None,effects.ShieldTransfer,None,0,1,73,None,6,87,None,0,0,None,0,0,0,0,None,None,None,None,None,"null
...
"
21,shieldCapacityBonusOnline,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 263
  modifyingAttributeID: 72
  operation: 2
"
25,capacitorCapacityBonus,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 482
  modifyingAttributeID: 67
  operation: 2
"
26,structureRepair,None,None,None,None,effects.StructureRepair,None,0,0,73,None,6,None,None,0,0,None,1,0,0,0,None,None,None,None,None,"null
...
"
27,armorRepair,None,None,None,None,effects.ArmorRepair,None,0,0,73,None,6,None,None,0,0,None,1,0,0,0,None,None,None,None,None,"null
...
"
34,projectileFired,None,None,None,None,effects.ProjectileFired,None,1,0,51,160,6,54,158,0,0,None,0,0,0,0,None,None,None,None,None,"null
...
"
38,empWave,None,None,None,None,effects.EMPWave,None,1,0,73,None,6,99,None,0,0,None,0,0,0,0,None,None,None,None,None,"null
...
"
39,warpDisrupt,None,None,None,None,effects.WarpDisrupt,None,1,0,73,None,6,54,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: targetID
  func: ItemModifier
  modifiedAttributeID: 104
  modifyingAttributeID: 105
  operation: 2
"
40,launcherFitted,None,None,None,Requires a launcher hardpoint,,168,0,0,None,None,None,None,None,0,1,Launcher,0,0,0,0,None,None,None,None,None,"null
...
"
42,turretFitted,None,None,None,Requires a turret hardpoint,,1432,0,0,None,None,None,None,None,0,1,Turret,0,0,0,0,None,None,None,None,None,"null
...
"
46,shipScan,None,None,None,None,effects.ShipScan,None,0,0,73,None,6,125,510,0,0,None,0,0,0,0,None,None,None,None,None,"null
...
"
47,cargoScan,None,None,None,None,effects.CargoScan,None,0,0,73,None,6,126,None,0,0,None,0,0,0,0,None,None,None,None,None,"null
...
"
48,powerBooster,None,None,None,None,,None,0,0,73,None,None,None,None,0,0,None,1,0,0,0,None,None,None,None,None,"null
...
"
50,modifyShieldRechargeRate,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 479
  modifyingAttributeID: 134
  operation: 4
"
51,modifyPowerRechargeRate,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 55
  modifyingAttributeID: 144
  operation: 4
"
54,targetPassively,None,None,None,None,,None,0,0,73,None,6,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"null
...
"
55,targetHostiles,None,None,None,None,,None,0,0,73,None,6,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"null
...
"
56,powerOutputMultiply,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 11
  modifyingAttributeID: 145
  operation: 4
"
57,shieldCapacityMultiply,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 263
  modifyingAttributeID: 146
  operation: 4
"
58,capacitorCapacityMultiply,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 482
  modifyingAttributeID: 147
  operation: 4
"
