typeID,effectID,isDefault
178,596,0
178,600,0
178,1173,0
179,596,0
179,600,0
179,1173,0
180,596,0
180,600,0
180,1173,0
181,596,0
181,600,0
181,1173,0
182,596,0
182,600,0
182,1173,0
183,596,0
183,600,0
183,1173,0
184,596,0
184,600,0
184,1173,0
185,596,0
185,600,0
185,1173,0
186,596,0
186,600,0
186,1173,0
187,596,0
187,600,0
187,1173,0
188,596,0
188,600,0
188,1173,0
189,596,0
189,600,0
189,1173,0
190,596,0
190,600,0
190,1173,0
191,596,0
191,600,0
191,1173,0
192,596,0
192,600,0
192,1173,0
193,596,0
193,600,0
193,1173,0
194,596,0
194,600,0
194,1173,0
195,596,0
195,600,0
195,1173,0
196,596,0
196,600,0
196,1173,0
197,596,0
197,600,0
197,1173,0
198,596,0
198,600,0
198,1173,0
199,596,0
199,600,0
199,1173,0
200,596,0
200,600,0
200,1173,0
201,596,0
201,600,0
201,1173,0
202,9,1
203,9,1
204,9,1
205,9,1
206,9,1
207,9,1
208,9,1
209,9,1
210,9,1
211,9,1
212,9,1
213,9,1
215,596,0
215,804,0
216,596,0
216,804,0
217,596,0
217,804,0
218,596,0
218,804,0
219,596,0
219,804,0
220,596,0
220,804,0
221,596,0
221,804,0
222,596,0
222,804,0
223,596,0
223,804,0
224,596,0
224,804,0
225,596,0
225,804,0
226,596,0
226,804,0
227,596,0
227,804,0
228,596,0
228,804,0
229,596,0
229,804,0
230,596,0
230,804,0
231,596,0
231,804,0
232,596,0
232,804,0
233,596,0
233,804,0
234,596,0
234,804,0
235,596,0
235,804,0
236,596,0
236,804,0
237,596,0
237,804,0
238,596,0
238,804,0
239,596,0
239,804,0
239,1173,0
240,596,0
240,804,0
240,1173,0
241,596,0
241,804,0
241,1173,0
242,596,0
242,804,0
242,1173,0
243,596,0
243,804,0
243,1173,0
244,596,0
244,804,0
244,1173,0
245,596,0
245,804,0
245,1173,0
246,596,0
246,804,0
246,1173,0
247,596,0
247,804,0
247,1173,0
248,596,0
248,804,0
248,1173,0
249,596,0
249,804,0
249,1173,0
250,596,0
250,804,0
250,1173,0
251,596,0
251,804,0
251,1173,0
252,596,0
252,804,0
252,1173,0
253,596,0
253,804,0
253,1173,0
254,596,0
254,804,0
254,1173,0
255,596,0
255,804,0
255,1173,0
256,596,0
256,804,0
256,1173,0
257,596,0
257,804,0
257,1173,0
258,596,0
258,804,0
